Upstream.Regulator,Molecule.Type,p.value.of.overlap,B.H.corrected.p.value,Target.Molecules.in.Dataset
IFNL1,cytokine,9.24e-14,9.3e-12,"BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3"
IFNA2,cytokine,4.03e-13,2.53e-11,"BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
CSF1,cytokine,2.61e-12,1.09e-10,"BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
IFNB1,cytokine,3.42e-10,5.93e-9,"BST2,CMPK2,HERC5,IFIT1,IFIT3,MX2"
IL4,cytokine,2.44e-8,2.99e-7,"BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2"
TNF,cytokine,3.44e-8,4.03e-7,"BST2,CMPK2,HERC5,IFI44L,IFIT1,IFIT3,MX2,RGCC"
IFNG,cytokine,1.62e-7,1.59e-6,"BST2,CMPK2,IFI44L,IFIT1,IFIT3,MX2,RGCC"
IFNE,cytokine,3.07e-7,2.76e-6,"BST2,HERC5,MX2"
IL27,cytokine,7.44e-7,5.85e-6,"BST2,IFIT1,IFIT3,MX2"
IL1RN,cytokine,1.05e-5,6.14e-5,"IFI44L,IFIT3,MX2"
IL1B,cytokine,3.39e-5,1.66e-4,"CMPK2,HERC5,IFIT1,IFIT3,RGCC"
GPR15LG,cytokine,8.73e-5,3.82e-4,"IFIT1,IFIT3"
IFNA4,cytokine,1.28e-4,5.23e-4,"BST2,IFIT1"
IFNL4,cytokine,0.00429,0.0104,IFIT1
IFNA14,cytokine,0.00462,0.0108,IFIT1
IFNA10,cytokine,0.00462,0.0108,IFIT1
IFNA21,cytokine,0.00462,0.0108,IFIT1
IFNA5,cytokine,0.00462,0.0108,IFIT1
IFNA7,cytokine,0.00462,0.0108,IFIT1
IFNA6,cytokine,0.00462,0.0108,IFIT1
IFNA8,cytokine,0.00495,0.0113,IFIT1
IFNA16,cytokine,0.00495,0.0113,IFIT1
IL1A,cytokine,0.00497,0.0113,"IFIT1,MX2"
IFNL2,other,0.00627,0.0135,IFIT1
CD40LG,cytokine,0.00761,0.0153,"IFIT1,IFIT3"
IL15,cytokine,0.0118,0.0225,"BST2,IFIT1"
IL2,cytokine,0.0266,0.0396,"PLAC8,RGCC"
BMP10,growth factor,0.031,0.0444,CMPK2
TGFB1,growth factor,0.032,0.0456,"HERC5,IFIT3,RGCC"
PF4,cytokine,0.0326,0.0463,CMPK2
IL6,cytokine,0.0337,0.0471,"BST2,IFIT1"
AREG,growth factor,0.0342,0.0476,IFIT3
